title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
IT Technician (Quantum Leap Company),"Myanmar Distribution Group Co., Ltd. (MDG)",Yangon,Negotiable,,,Today,https://www.jobnet.com.mm/job/it-technician-quantum-leap-company-myanmar-distribution-group-co-ltd-mdg/114717,MM,jobnetmm
ELV Engineer,"Myanmar Golden Rock International Co.,Ltd",Yangon,Negotiable,,,Today,https://www.jobnet.com.mm/job/elv-engineer-myanmar-golden-rock-international-co-ltd/114710,MM,jobnetmm
IT Business Analyst,JobNet Corporate (Sales),Yangon,Negotiable,,,23 May 2025,https://www.jobnet.com.mm/job/it-business-analyst-jobnet-corporate-sales/114695,MM,jobnetmm
Senior Technical Project Manager,Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,23 May 2025,https://www.jobnet.com.mm/job/senior-technical-project-manager-myanmar-citizens-bank-mcb/114657,MM,jobnetmm
Infrastructure Support Engineer,"Myanmar CP Livestock Co.,Ltd",Yangon,Negotiable,,,22 May 2025,https://www.jobnet.com.mm/job/infrastructure-support-engineer-myanmar-cp-livestock-co-ltd/113334,MM,jobnetmm
Senior Software Engineer ( Functional Support),"Ace Data Systems Co.,Ltd",Yangon,Negotiable,,,22 May 2025,https://www.jobnet.com.mm/job/senior-software-engineer-functional-support-ace-data-systems-co-ltd/112348,MM,jobnetmm
Odoo Developer (Senior/Mid Level),Innovix Solutions,Yangon,Negotiable,,,22 May 2025,https://www.jobnet.com.mm/job/odoo-developer-senior-mid-level-innovix-solutions/113302,MM,jobnetmm
Core Banking System & Database Administrator,SATHAPANA Limited Myanmar,Yangon,Negotiable,,,22 May 2025,https://www.jobnet.com.mm/job/core-banking-system-and-database-administrator-sathapana-limited-myanmar/114617,MM,jobnetmm
In-House Software &Report Development Unit Officer,SATHAPANA Limited Myanmar,Yangon,Negotiable,,,21 May 2025,https://www.jobnet.com.mm/job/in-house-software-andreport-development-unit-officer-sathapana-limited-myanmar/114597,MM,jobnetmm
Trainee Engineer,,Yangon,Negotiable,,,21 May 2025,https://www.jobnet.com.mm/job/trainee-engineer-leading-company/114576,MM,jobnetmm
System Engineer,"Nice Myanmar Travels & Tours Co.,Ltd",Yangon,Negotiable,,,21 May 2025,https://www.jobnet.com.mm/job/system-engineer-nice-myanmar-travels-and-tours-co-ltd/114574,MM,jobnetmm
Senior Java Developer,Wave Money,Yangon,Negotiable,,,21 May 2025,https://www.jobnet.com.mm/job/senior-java-developer-wave-money/106259,MM,jobnetmm
Mid-Level Software Engineer (AI Video Generation),X inc,International,"Up to 2,500,000 Ks",,,21 May 2025,https://www.jobnet.com.mm/job/mid-level-software-engineer-ai-video-generation-x-inc/114542,MM,jobnetmm
Assistant Supervisor (System Engineer),CHID Bank,Yangon,Negotiable,,,20 May 2025,https://www.jobnet.com.mm/job/assistant-supervisor-system-engineer-chid-bank/114540,MM,jobnetmm
Senior Information Security Manager,Wave Money,Yangon,Negotiable,,,20 May 2025,https://www.jobnet.com.mm/job/senior-information-security-manager-wave-money/112294,MM,jobnetmm
Senior IT Technician,"WOW SPORTS & CULTURAL DEVELOPMENT CO.,LTD",Yangon,"Up to 800,000 Ks",,,20 May 2025,https://www.jobnet.com.mm/job/senior-it-technician-wow-sports-and-cultural-development-co-ltd/114504,MM,jobnetmm
Associate Security Engineer,CB Bank,Yangon,Negotiable,,,20 May 2025,https://www.jobnet.com.mm/job/associate-security-engineer-cb-bank/111506,MM,jobnetmm
"Senior Analyst, Infrastructure & EUS",AIA Myanmar,Yangon,Negotiable,,,20 May 2025,https://www.jobnet.com.mm/job/senior-analyst-infrastructure-and-eus-aia-myanmar/111341,MM,jobnetmm
"Sr. Manager, New Stream & Advance Analytics",ATOM,Yangon,Negotiable,,,20 May 2025,https://www.jobnet.com.mm/job/sr-manager-new-stream-and-advance-analytics-atom/114488,MM,jobnetmm
JAVA DEVELOPER,"Tara Aung Co.,Ltd",Yangon,Negotiable,,,19 May 2025,https://www.jobnet.com.mm/job/java-developer-tara-aung-co-ltd/114482,MM,jobnetmm
Senior Odoo Developer,"Green IT Co.,Ltd",Yangon,Negotiable,,,19 May 2025,https://www.jobnet.com.mm/job/senior-odoo-developer-green-it-co-ltd/114160,MM,jobnetmm
Senior IT Engineer (IT Infrastructure),"Myanmar Payment Union Public Co.,Ltd",Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/senior-it-engineer-it-infrastructure-myanmar-payment-union-public-co-ltd/114379,MM,jobnetmm
"Senior IT Engineer (Switch, Ecommerce)","Myanmar Payment Union Public Co.,Ltd",Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/senior-it-engineer-switch-ecommerce-myanmar-payment-union-public-co-ltd/114377,MM,jobnetmm
Computer Color Machine Maintenance,"Nippon Paint (Myanmar) Co.,Ltd",Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/computer-color-machine-maintenance-nippon-paint-myanmar-co-ltd/113755,MM,jobnetmm
Software Developer,Talent Experts,Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/software-developer-talent-experts/114355,MM,jobnetmm
Senior Developer,Systematic Business Solution,Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/senior-developer-systematic-business-solution/114009,MM,jobnetmm
Software Project Manager,Innovix Solutions,Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/software-project-manager-innovix-solutions/114340,MM,jobnetmm
Senior (Software/System) Business Analyst,Innovix Solutions,Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/senior-software-system-business-analyst-innovix-solutions/114339,MM,jobnetmm
Manager (IT - Core & Digital Banking),CHID Bank,Yangon,Negotiable,,,16 May 2025,https://www.jobnet.com.mm/job/manager-it-core-and-digital-banking-chid-bank/114338,MM,jobnetmm
Senior Data Scientist,UTW (Myanmar) Limited,Yangon,Negotiable,,,15 May 2025,https://www.jobnet.com.mm/job/senior-data-scientist-utw-myanmar-limited/113779,MM,jobnetmm
IT Specialist,"Myat Myittar Mon Co.,Ltd",Yangon,Negotiable,,,15 May 2025,https://www.jobnet.com.mm/job/it-specialist-myat-myittar-mon-co-ltd/114299,MM,jobnetmm
Senior IT Officer (MFI),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/senior-it-officer-mfi-capital-diamond-star-group-cdsg/114257,MM,jobnetmm
ERP SAP O & M Support (A1 - FI),MPT - Myanma Posts & Telecommunications,Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/erp-sap-o-and-m-support-a1-fi-mpt-myanma-posts-and-telecommunications/114255,MM,jobnetmm
Assistant IT Manager,YKKO,Yangon,Negotiable,,,14 May 2025,https://www.jobnet.com.mm/job/assistant-it-manager-ykko/114248,MM,jobnetmm
